date,London,South East,East Anglia,East Midlands,Yorkshire & Humber,Scotland,North West,South West,West Midlands
1999-11-01,0.85,0.89,0.73902804,0.99,0.99666667,0.69707406,0.645,0.62,0.71674305
1999-12-01,0.55,0.69,0.74,0.72792447,0.7064718,0.69707406,0.59,0.7100233,0.64
2000-01-01,0.5,0.7577874,0.73902804,0.72792447,0.615,0.69707406,0.45,0.7100233,0.71674305
2000-02-01,0.5475,0.4933333,0.73902804,0.72792447,0.445,0.515,0.44666666,0.7100233,0.45
2000-03-01,0.79,0.615,0.73902804,0.59,0.45499998,0.69707406,0.59000003,0.65,0.71674305
2000-04-01,0.58500004,0.7577874,0.73902804,0.72792447,0.64,0.59,0.6,0.7100233,0.59
2000-05-01,0.5,0.53999996,0.48,0.55,0.4,0.69707406,0.3,0.7100233,0.71674305
2000-06-01,0.89,0.42,0.38,0.72792447,0.7064718,0.58500004,0.49,0.7100233,0.52
2000-07-01,0.59,0.48999998,0.53999996,0.72792447,0.25,0.38,0.34,0.33999997,0.38
2000-08-01,0.99,0.7577874,0.65,0.72792447,0.7064718,0.45,0.70004463,0.48499998,0.45
2000-09-01,0.65,0.635,0.73902804,0.72792447,0.49,0.48,0.69,0.59,0.71674305
2000-10-01,0.505,0.48,0.73902804,0.72792447,0.53,0.69707406,0.44,0.48,0.635
2000-11-01,0.49,0.65,0.73902804,0.72792447,0.66999996,0.69707406,0.70004463,0.7100233,0.4
2000-12-01,0.57000005,0.6,0.55,0.72792447,0.445,0.69707406,0.59,0.55,0.615
2001-01-01,0.58,0.79,0.73902804,0.59,0.7064718,0.53,0.39,0.7100233,0.71674305
2001-02-01,0.425,0.7,0.605,0.72792447,0.58,0.635,0.58,0.59,0.71674305
2001-03-01,0.59,0.7577874,0.73902804,1.49,0.7064718,1.29,0.70004463,1.19,0.71674305
2001-04-01,0.65,0.81666666,0.69,0.595,0.69,0.69707406,0.4,0.69,0.59
2001-05-01,0.7117109,0.7577874,0.73902804,0.72792447,0.49,0.49,0.48,0.7100233,0.515
2001-06-01,0.65,0.62,0.70666665,0.79,0.685,0.69707406,0.59,0.49,0.5733333
2001-07-01,0.7117109,0.7577874,0.64666665,0.585,0.6,0.69707406,0.62,0.75,0.49
2001-08-01,0.8,0.7577874,0.85,0.65,0.79,0.64,0.7,0.68,0.67333335
2001-09-01,0.78,0.71,0.73902804,0.72792447,0.75,0.59,0.59,0.59,0.71674305
2001-10-01,0.51,0.58,0.57,0.72792447,0.45,0.75,0.70004463,0.64,0.69
2001-11-01,0.7117109,0.9266667,0.8,0.72792447,0.99,0.69707406,0.70004463,0.89,0.71674305
2001-12-01,0.845,0.84,0.5,0.99,0.695,0.69707406,0.70004463,0.89,0.71674305
2002-01-01,0.76,0.9433333,0.75,0.7,0.7064718,0.99,0.84000003,0.78,0.8233333
2002-02-01,0.69,0.64,0.75,0.72792447,0.585,0.69707406,0.70004463,0.83000004,0.71674305
2002-03-01,0.66999996,0.69,0.75,0.6533333,0.48,0.65,0.70004463,0.7100233,0.71674305
2002-04-01,0.7117109,0.645,0.73902804,0.49,0.45,0.67333335,0.70004463,0.9,0.71674305
2002-05-01,0.55,0.65,0.4,0.38,0.59,0.59,0.70004463,0.7100233,0.58666664
2002-06-01,0.5975,0.714,0.54,0.72792447,0.48,0.69707406,0.69,0.78,0.75
2002-07-01,0.7117109,0.62,0.73902804,0.54,0.7064718,0.99,0.54,0.515,0.49
2002-08-01,0.79,0.62,0.73902804,0.72792447,0.5,0.59000003,0.70004463,0.7100233,0.71674305
2002-09-01,0.645,0.565,0.595,0.54,0.55,0.64666665,0.70004463,0.57,0.69
2002-10-01,0.7117109,0.59,0.65,0.54499996,0.5566667,0.635,0.685,0.59,0.52
2002-11-01,0.7117109,0.565,0.8,0.72792447,0.7064718,0.69,0.70004463,0.7100233,0.89
2002-12-01,1.2,0.9133333,0.78999996,0.835,0.79,0.89,0.70004463,0.7100233,0.71674305
2003-01-01,0.79,0.99,0.79,0.83,0.87,0.69707406,0.70004463,0.82,0.78
2003-02-01,1.015,0.7577874,0.73902804,0.72792447,1.14,0.69707406,0.99,0.7100233,0.71674305
2003-03-01,0.68,0.7577874,0.6,0.89,0.7064718,0.94000006,0.70004463,0.68,0.52
2003-04-01,0.7275,0.72333336,0.73902804,0.48,0.58,0.59,0.55,0.78,0.71674305
2003-05-01,0.7117109,0.7577874,0.79,0.7,0.585,0.69707406,0.70004463,0.7100233,0.58
2003-06-01,0.95,0.89,1.2,0.72792447,0.69,0.48,0.70004463,0.7100233,0.71674305
2003-07-01,0.69500005,0.84000003,0.73902804,0.48,0.74,0.69707406,0.59,0.7100233,0.59
2003-08-01,0.74,0.9,0.75,0.72792447,0.63,0.75,0.51,0.75333333,0.71674305
2003-09-01,1.19,0.69,0.73902804,0.68,0.89,0.99,0.68,0.84000003,0.84000003
2003-10-01,0.95,0.89,0.69,0.72792447,0.68,0.69707406,0.71,0.68,0.89
2003-11-01,0.79,0.69,0.73902804,0.72792447,0.74,0.69707406,0.70004463,1.45,0.71674305
2003-12-01,0.7117109,0.48,0.69,0.72792447,0.7064718,0.69707406,0.59,0.49,0.67
2004-01-01,0.7117109,0.7577874,0.73902804,0.69,0.6,0.75,0.69,0.49,0.52
2004-02-01,0.745,0.7577874,0.73902804,0.72792447,0.79,0.69707406,0.70004463,1.15,0.25
2004-03-01,0.59,0.7577874,0.745,0.54,0.7064718,0.69,0.70004463,1.19,0.54
2004-04-01,0.84250003,0.7577874,0.6,0.69,0.62,0.69,0.70004463,0.5933333,0.71674305
2004-05-01,0.625,0.44,0.73902804,0.59,0.54333335,0.45,0.59,0.44,0.71674305
2004-06-01,0.7117109,0.845,0.73902804,0.72792447,0.55,0.69707406,0.70004463,0.7100233,0.65
2004-07-01,0.57,0.7577874,0.79,0.6875,0.695,0.65,0.70004463,0.7100233,0.59
2004-08-01,0.77,0.84000003,0.73902804,0.65,0.7064718,0.84000003,0.59,0.7100233,0.59
2004-09-01,0.585,0.99,0.73902804,0.65,0.615,0.79,0.85,0.6,0.89
2004-10-01,0.68,0.69666666,0.73902804,0.72792447,0.7064718,0.63,0.70004463,0.79,0.575
2004-11-01,1.4,1.39,0.94,0.94,0.88,1.35,0.855,0.7100233,1.22
2004-12-01,1.29,1.39,0.69,0.89,1.09,0.99,0.89,0.7100233,0.71674305
2005-01-01,0.99,1.5,0.73902804,0.72792447,0.7064718,0.69707406,0.75,0.7100233,0.71674305
2005-02-01,0.8566667,0.98,0.88,0.78,0.87,0.69707406,1.09,0.88,0.71674305
2005-03-01,0.7117109,0.83500004,1.0,0.89,0.7064718,0.69707406,0.69,0.89,0.69
2005-04-01,0.77,0.7577874,0.73902804,0.59000003,0.58,0.58,0.70004463,0.78,0.73
2005-05-01,0.99,0.69,0.73902804,0.585,0.7064718,0.58,0.59,0.58,0.58
2005-06-01,0.55499995,0.83,1.2,0.72792447,0.7064718,0.69707406,0.49,0.58500004,0.66999996
